Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg. Number,Result,Rpt Limit,Units,Method,Depth,Matrix,Purpose,Parent Sample,Description,Notes
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Total Alkalinity",471341,73,1,mg/L as CaCO3,"EPA 310.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Arsenic",7440382,< R.L.,0.001,mg/L,"Std Method 3114 C",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Boron",7440428,< R.L.,0.1,mg/L,"USGS I-2115-85",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Bromide",24959679,0.02,0.01,mg/L,"EPA 300.0 28d Hold",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Bromodichloromethane",75274,12,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Bromoform",75252,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Calcium",7440702,14,1,mg/L,"EPA 215.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Chloride",16887006,7,1,mg/L,"EPA 325.2",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Chloroform",67663,130,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Color",0,15,5,Color Units,"EPA 110.2",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Conductance (EC)",0,186,1,?S/cm,"EPA 120.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Copper",7440508,< R.L.,0.005,mg/L,"EPA 220.2 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dibromochloromethane",124481,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Hardness",0,72,1,mg/L as CaCO3,"Std Method 2340 B",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Magnesium",7439954,9,1,mg/L,"EPA 242.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Organic Carbon",0,1.5,0.1,mg/L as C,"EPA 415.1 (D) Ox",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Potassium",7440097,1.3,0.1,mg/L,"EPA 258.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Selenium",7782492,< R.L.,0.001,mg/L,"EPA 270.3 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Sodium",7440235,11,1,mg/L,"EPA 273.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Total Dissolved Solids",0,118,1,mg/L,"EPA 160.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Dissolved Sulfate",14808798,10,1,mg/L,"EPA 375.2",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"Turbidity",0,6,1,N.T.U.,"EPA 180.1",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,"UV Absorbance @254nm",0,0.037,0.001,absorbance/cm,"Std Method 5910B DWR Modified",1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,Field Specific Conductance (EC),471341,192,1,?S/cm@25?C,EPA 120.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,Field Dissolved Oxygen,471341,9.4,0.1,mg/L,EPA 360.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,Field Water Temperature,471341,21.7,0.1,?C,EPA 170.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,Field Turbidity,471341,8.44,1,N.T.U.,EPA 180.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0494A0627,04/19/1994 13:15,Field pH,471341,8.2,0.1,pH Units,EPA 150.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940627"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Total Alkalinity",471341,68,1,mg/L as CaCO3,"EPA 310.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Arsenic",7440382,< R.L.,0.001,mg/L,"Std Method 3114 C",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Boron",7440428,< R.L.,0.1,mg/L,"USGS I-2115-85",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Bromide",24959679,0.02,0.01,mg/L,"EPA 300.0 28d Hold",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Bromodichloromethane",75274,13,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
