Date,DRP** mg/L P,Flow_gal,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,41250000.0,1.0,17.3,,,0.52,,,,,,,11.0,2000.0,41.0,7.34,,19.6,
2000-01-03,,41250000.0,1.0,18.7,,,0.52,,,,,,,7.0,2000.0,41.0,7.21,,19.5,
2000-01-04,,40310000.0,1.0,18.6,,,0.52,,,,,,,12.0,2000.0,40.0,7.22,,20.6,
2000-01-05,,39690000.0,1.0,20.7,,,0.52,,,,,,,10.0,2000.0,40.0,7.37,,22.2,
2000-01-06,,39560000.0,1.0,21.6,0.02,0.16,0.52,,,,24.4,,0.65,9.0,2000.0,40.0,7.31,,20.1,
2000-01-07,,39940000.0,1.0,23.1,,,0.52,,,,,,,11.0,2000.0,40.0,7.09,,21.5,
2000-01-08,,40440000.0,1.0,20.8,,,0.52,,,,,,,11.0,2000.0,40.0,7.18,,21.5,
2000-01-09,,40940000.0,1.0,20.7,,,0.52,,,,,,,14.0,2000.0,41.0,7.21,,20.9,
2000-01-10,,42870000.0,1.0,20.3,,,0.52,,,,,,,12.0,2000.0,43.0,7.19,,20.2,
2000-01-11,,44620000.0,1.0,20.9,,,0.52,,,,,,,6.0,2000.0,45.0,7.25,,22.0,
2000-01-12,,41690000.0,1.0,21.7,0.09,0.08,0.52,,,,24.8,,0.7,10.0,2000.0,42.0,7.46,,20.5,
2000-01-13,,40810000.0,1.0,20.4,,,0.52,,,,,,,9.0,2000.0,41.0,7.34,,19.4,
2000-01-14,,40310000.0,1.0,21.3,,,0.52,,,,,,,8.0,2000.0,40.0,7.44,,19.8,
2000-01-15,,43190000.0,1.0,21.5,,,0.52,,,,,,,9.0,2000.0,43.0,7.19,,20.7,
2000-01-16,,48620000.0,1.0,20.7,,,0.52,,,,,,,11.0,2000.0,49.0,7.3,,20.3,
2000-01-17,,44560000.0,1.0,17.7,,,0.52,,,,,,,10.0,2000.0,45.0,7.47,,20.0,
2000-01-18,,52000000.0,1.0,18.5,,,0.52,,,,,,,8.0,2000.0,52.0,7.08,,20.6,
2000-01-19,,46060000.0,1.0,18.5,0.12,0.12,0.52,,,,20.8,,0.5,6.0,2000.0,46.0,7.03,,21.6,
2000-01-20,,44250000.0,1.0,18.9,,,0.52,,,,,,,6.0,2000.0,44.0,7.31,,20.5,
2000-01-21,,43560000.0,1.0,19.8,,,0.52,,,,,,,6.0,2000.0,44.0,7.36,,20.6,
2000-01-22,,44500000.0,1.0,19.9,,,0.52,,,,,,,5.0,2000.0,45.0,7.28,,21.3,
2000-01-23,,65120000.0,1.0,19.9,,,0.52,,,,,,,9.0,2000.0,65.0,7.34,,20.0,
2000-01-24,,122870000.0,1.0,15.8,,,0.52,,,,,,,10.0,2000.0,123.0,7.25,,18.2,
2000-01-25,,82620000.0,1.0,6.6,0.33,1.49,0.52,,,,9.1,,0.85,9.0,2000.0,83.0,6.65,,19.9,
2000-01-26,,61940000.0,1.0,10.8,,,0.52,,,,,,,10.0,2000.0,62.0,7.2,,20.0,
2000-01-27,,54750000.0,1.0,14.1,,,0.52,,,,,,,9.0,2000.0,55.0,7.15,,21.3,
2000-01-28,,53250000.0,1.0,17.2,,,0.52,,,,,,,10.0,2000.0,53.0,7.18,,21.0,
2000-01-29,,51250000.0,1.0,17.1,,,0.52,,,,,,,7.0,2000.0,51.0,7.32,,19.5,
2000-01-30,,54120000.0,1.0,18.1,,,0.52,,,,,,,6.0,2000.0,54.0,7.34,,20.0,
2000-01-31,,50380000.0,1.0,17.4,,,0.52,,,,,,,10.0,2000.0,50.0,7.08,,19.4,
2000-02-01,,50060000.0,2.0,17.0,0.1,0.3,0.52,,,,19.2,,,6.0,2000.0,50.0,7.12,,20.0,
2000-02-02,,46750000.0,2.0,19.3,,,0.52,,,,,,,8.0,2000.0,47.0,6.91,,20.3,
2000-02-03,,46940000.0,2.0,19.7,,,0.52,,,,,,,6.0,2000.0,47.0,7.34,,19.3,
2000-02-04,,46620000.0,2.0,21.4,,,0.52,,,,,,,11.0,2000.0,47.0,7.1,,20.0,
2000-02-05,,47190000.0,2.0,19.8,,,0.52,,,,,,,8.0,2000.0,47.0,7.2,,19.6,
2000-02-06,,48000000.0,2.0,18.6,,,0.52,,,,,,,8.0,2000.0,48.0,7.17,,19.2,
2000-02-07,,46060000.0,2.0,18.0,0.2,0.27,0.52,,,,20.9,,0.67,9.0,2000.0,46.0,7.24,,20.6,
2000-02-08,,43810000.0,2.0,18.2,,,0.52,,,,,,,9.0,2000.0,44.0,7.25,,21.5,
2000-02-09,,46000000.0,2.0,19.3,,,0.52,,,,,,,8.0,2000.0,46.0,7.21,,20.6,
2000-02-10,,49560000.0,2.0,19.9,,,0.52,,,,,,,6.0,2000.0,50.0,7.2,,20.0,
2000-02-11,,64690000.0,2.0,21.1,,,0.52,,,,,,,8.0,2000.0,65.0,7.35,,19.9,
2000-02-12,,80690000.0,2.0,18.5,,,0.52,,,,,,,10.0,2000.0,81.0,6.93,,18.0,
2000-02-13,,106940000.0,2.0,9.7,,,0.52,,,,,,,11.0,2000.0,107.0,7.12,,18.0,
2000-02-14,,124000000.0,2.0,10.1,,,0.52,,,,,,,12.0,2000.0,124.0,7.12,,17.7,
2000-02-15,,104690000.0,2.0,6.3,,,0.52,,,,,,,15.0,2000.0,105.0,7.16,,19.3,
2000-02-16,,87690000.0,2.0,8.4,,,0.52,,,,,,,12.0,2000.0,88.0,7.16,,17.5,
2000-02-17,,70370000.0,2.0,10.5,0.57,0.39,0.52,,,,13.3,,1.53,19.0,2000.0,70.0,7.2,,18.0,
2000-02-18,,63190000.0,2.0,12.0,,,0.52,,,,,,,13.0,2000.0,63.0,7.3,,19.0,
2000-02-19,,59380000.0,2.0,14.0,,,0.52,,,,,,,9.0,2000.0,59.0,7.12,,19.7,
2000-02-20,,58940000.0,2.0,14.0,,,0.52,,,,,,,10.0,2000.0,59.0,7.2,,20.0,
2000-02-21,,61370000.0,2.0,13.5,,,0.52,,,,,,,7.0,2000.0,61.0,7.2,,19.0,
2000-02-22,,64370000.0,2.0,12.8,,,0.52,,,,,,,10.0,2000.0,64.0,7.42,,19.8,
2000-02-23,,94690000.0,2.0,13.8,,,0.52,,,,,,,10.0,2000.0,95.0,7.15,,18.0,
2000-02-24,,72810000.0,2.0,8.0,0.7,1.2,0.52,,,,10.1,,1.2,9.0,2000.0,73.0,7.09,,18.0,
2000-02-25,,66440000.0,2.0,10.8,,,0.52,,,,,,,8.0,2000.0,66.0,7.41,,18.5,
2000-02-26,,64000000.0,2.0,11.9,,,0.52,,,,,,,9.0,2000.0,64.0,7.41,,20.2,
2000-02-27,,88810000.0,2.0,13.2,,,0.52,,,,,,,11.0,2000.0,89.0,7.06,,18.8,
2000-02-28,,72560000.0,2.0,10.5,,,0.52,,,,,,,11.0,2000.0,73.0,7.4,,19.0,
2000-02-29,,68250000.0,2.0,8.3,,,0.52,,,,,,,7.0,2000.0,68.0,7.4,,19.0,
2000-03-01,,68250000.0,3.0,12.8,0.45,0.7,0.52,,,,15.4,,1.27,10.0,2000.0,68.0,7.16,,20.0,
2000-03-02,,64870000.0,3.0,14.5,,,0.52,,,,,,,9.0,2000.0,65.0,7.36,,19.0,
2000-03-03,,63560000.0,3.0,14.1,,,0.52,,,,,,,11.0,2000.0,64.0,7.26,,19.9,
2000-03-04,,63370000.0,3.0,12.9,,,0.52,,,,,,,9.0,2000.0,63.0,7.28,,20.4,
2000-03-05,,77310000.0,3.0,13.8,,,0.52,,,,,,,9.0,2000.0,77.0,7.21,,17.2,
2000-03-06,,66560000.0,3.0,11.0,0.4,0.36,0.52,,,,13.5,,1.25,5.0,2000.0,67.0,7.38,,18.5,
2000-03-07,,62440000.0,3.0,12.9,,,0.52,,,,,,,7.0,2000.0,62.0,7.36,,18.4,
2000-03-08,,70250000.0,3.0,13.2,,,0.52,,,,,,,10.0,2000.0,70.0,7.31,,16.7,
2000-03-09,,75000000.0,3.0,12.9,,,0.52,,,,,,,10.0,2000.0,75.0,7.2,,18.5,
2000-03-10,,68690000.0,3.0,10.6,,,0.52,,,,,,,10.0,2000.0,69.0,7.41,,18.8,
2000-03-11,,63940000.0,3.0,12.7,,,0.52,,,,,,,12.0,2000.0,64.0,7.32,,20.4,
2000-03-12,,62250000.0,3.0,13.3,,,0.52,,,,,,,13.0,2000.0,62.0,7.34,,20.5,
2000-03-13,,58440000.0,3.0,13.0,,,0.52,,,,,,,9.0,2000.0,58.0,7.37,,19.7,
2000-03-14,,57690000.0,3.0,13.3,0.55,0.26,0.52,,,,15.8,,1.69,9.0,2000.0,58.0,7.46,,20.6,
2000-03-15,,55000000.0,3.0,14.2,,,0.52,,,,,,,7.0,2000.0,55.0,7.48,,21.3,
2000-03-16,,55120000.0,3.0,15.4,,,0.52,,,,,,,13.0,2000.0,55.0,7.53,,20.4,
2000-03-17,,52940000.0,3.0,15.3,,,0.52,,,,,,,10.0,2000.0,53.0,7.38,,22.0,
2000-03-18,,53060000.0,3.0,16.6,,,0.52,,,,,,,8.0,2000.0,53.0,7.4,,22.2,
2000-03-19,,53440000.0,3.0,16.0,,,0.52,,,,,,,13.0,2000.0,53.0,7.47,,21.5,
2000-03-20,,51370000.0,3.0,13.8,0.78,0.42,0.52,,,,15.8,,1.31,6.0,2000.0,51.0,7.39,,20.0,
2000-03-21,,50310000.0,3.0,16.0,,,0.52,,,,,,,7.0,2000.0,50.0,7.1,,23.0,
2000-03-22,,48620000.0,3.0,17.2,,,0.52,,,,,,,6.0,2000.0,49.0,7.75,,21.0,
2000-03-23,,48310000.0,3.0,17.0,,,0.52,,,,,,,4.0,2000.0,48.0,7.3,,20.7,
2000-03-24,,48370000.0,3.0,17.5,,,0.52,,,,,,,8.0,2000.0,48.0,7.05,,20.9,
2000-03-25,,48810000.0,3.0,17.0,,,0.52,,,,,,,6.0,2000.0,49.0,7.26,,20.3,
2000-03-26,,49120000.0,3.0,16.4,,,0.52,,,,,,,10.0,2000.0,49.0,7.37,,21.5,
2000-03-27,,48250000.0,3.0,16.8,,,0.52,,,,,,,28.0,2000.0,48.0,7.38,,19.6,
2000-03-28,,0.0,3.0,16.2,,,0.52,,,,,,,11.0,2000.0,,7.4,,20.1,
2000-03-29,,52060000.0,3.0,17.0,0.68,0.78,0.52,,,,,,1.04,9.0,2000.0,52.0,7.4,,22.0,
2000-03-30,,47940000.0,3.0,18.4,,,0.52,,,,,,,10.0,2000.0,48.0,7.57,,23.0,
2000-03-31,,49310000.0,3.0,16.7,,,0.52,,,,,,,7.0,2000.0,49.0,7.57,,21.1,
2000-04-01,,49370000.0,4.0,18.3,,,0.52,,,,,,,8.0,2000.0,49.0,7.39,,21.8,
2000-04-02,,50190000.0,4.0,15.4,,,0.52,,,,,,,12.0,2000.0,50.0,7.36,,23.7,
2000-04-03,,48500000.0,4.0,14.8,1.01,0.82,0.52,,,,17.1,,0.44,9.0,2000.0,49.0,7.45,,21.9,
2000-04-04,,46310000.0,4.0,15.7,,,0.52,,,,,,,11.0,2000.0,46.0,7.39,,21.7,
2000-04-05,,47560000.0,4.0,17.7,,,0.52,,,,,,,9.0,2000.0,48.0,7.54,,21.2,
2000-04-06,,47870000.0,4.0,17.6,,,0.52,,,,,,,8.0,2000.0,48.0,7.51,,21.4,
2000-04-07,,48310000.0,4.0,15.6,,,0.52,,,,,,,8.0,2000.0,48.0,7.49,,21.5,
2000-04-08,,48250000.0,4.0,14.8,,,0.52,,,,,,,6.0,2000.0,48.0,7.48,,22.0,
2000-04-09,,49120000.0,4.0,13.7,,,0.52,,,,,,,15.0,2000.0,49.0,7.37,,22.2,
2000-04-10,,46500000.0,4.0,13.2,,,0.52,,,,,,,15.0,2000.0,47.0,7.44,,21.6,
2000-04-11,,46060000.0,4.0,15.5,0.68,1.44,0.52,,,,17.7,,0.57,10.0,2000.0,46.0,7.51,,23.0,
2000-04-12,,46120000.0,4.0,16.9,,,0.52,,,,,,,6.0,2000.0,46.0,7.62,,23.0,
2000-04-13,,52310000.0,4.0,16.7,,,0.52,,,,,,,10.0,2000.0,52.0,7.45,,23.0,
2000-04-14,,53440000.0,4.0,17.5,,,0.52,,,,,,,8.0,2000.0,53.0,7.35,,22.5,
2000-04-15,,47120000.0,4.0,16.8,,,0.52,,,,,,,9.0,2000.0,47.0,7.54,,22.2,
2000-04-16,,48120000.0,4.0,17.3,,,0.52,,,,,,,11.0,2000.0,48.0,7.43,,22.0,
2000-04-17,,51060000.0,4.0,13.3,,,0.52,,,,,,,5.0,2000.0,51.0,7.35,,20.0,
2000-04-18,,48560000.0,4.0,14.4,0.82,1.53,0.52,,,,16.8,,0.92,8.0,2000.0,49.0,7.54,,21.0,
2000-04-19,,47620000.0,4.0,12.8,,,0.52,,,,,,,7.0,2000.0,48.0,7.63,,22.0,
2000-04-20,,49690000.0,4.0,,,,0.52,,,,,,,,2000.0,50.0,7.53,,21.0,
2000-04-21,,61810000.0,4.0,14.5,,,0.52,,,,,,,10.0,2000.0,62.0,7.5,,21.8,
2000-04-22,,57500000.0,4.0,15.1,,,0.52,,,,,,,8.0,2000.0,58.0,7.24,,21.2,
2000-04-23,,51810000.0,4.0,12.5,,,0.52,,,,,,,7.0,2000.0,52.0,7.36,,22.0,
2000-04-24,,48690000.0,4.0,14.0,0.78,1.74,0.52,,,,16.6,,1.3,13.0,2000.0,49.0,7.36,,22.1,
2000-04-25,,47310000.0,4.0,14.7,,,0.52,,,,,,,11.0,2000.0,47.0,7.39,,21.5,
2000-04-26,,46750000.0,4.0,15.6,,,0.52,,,,,,,13.0,2000.0,47.0,7.4,,22.5,
2000-04-27,,47310000.0,4.0,16.1,,,0.52,,,,,,,16.0,2000.0,47.0,7.52,,21.4,
2000-04-28,,46810000.0,4.0,16.6,,,0.52,,,,,,,17.0,2000.0,47.0,7.38,,21.4,
2000-04-29,,44560000.0,4.0,17.2,,,0.52,,,,,,,13.0,2000.0,45.0,7.15,,22.0,
2000-04-30,,48940000.0,4.0,15.7,,,0.52,,,,,,,14.0,2000.0,49.0,7.42,,23.8,
2000-05-01,,47620000.0,5.0,16.0,0.74,1.65,0.52,,,,19.2,,1.85,15.0,2000.0,48.0,7.5,,22.5,
2000-05-02,,47690000.0,5.0,15.6,,,0.52,,,,,,,14.0,2000.0,48.0,7.55,,22.8,
2000-05-03,,45940000.0,5.0,16.9,,,0.52,,,,,,,9.0,2000.0,46.0,7.29,,22.8,
2000-05-04,,43750000.0,5.0,17.8,,,0.52,,,,,,,10.0,2000.0,44.0,7.2,,22.6,
2000-05-05,,44000000.0,5.0,16.9,,,0.52,,,,,,,15.0,2000.0,44.0,7.36,,22.0,
2000-05-06,,46880000.0,5.0,16.4,,,0.52,,,,,,,11.0,2000.0,47.0,7.21,,22.0,
2000-05-07,,51620000.0,5.0,16.2,,,0.52,,,,,,,9.0,2000.0,52.0,7.13,,21.0,
2000-05-08,,51620000.0,5.0,16.3,,,0.52,,,,,,,11.0,2000.0,52.0,7.41,,22.0,
2000-05-09,,49060000.0,5.0,16.3,1.34,2.85,0.52,,,,18.8,,0.58,10.0,2000.0,49.0,7.38,,22.3,
2000-05-10,,47750000.0,5.0,13.9,,,0.52,,,,,,,8.0,2000.0,48.0,7.19,,21.6,
2000-05-11,,46690000.0,5.0,14.4,,,0.52,,,,,,,10.0,2000.0,47.0,7.03,,21.4,
2000-05-12,,47440000.0,5.0,14.6,,,0.52,,,,,,,11.0,2000.0,47.0,7.17,,21.5,
2000-05-13,,48310000.0,5.0,14.1,,,0.52,,,,,,,10.0,2000.0,48.0,7.24,,21.8,
2000-05-14,,50000000.0,5.0,13.7,,,0.52,,,,,,,14.0,2000.0,50.0,,,,
2000-05-15,,50690000.0,5.0,13.3,,,0.52,,,,,,,14.0,2000.0,51.0,7.12,,21.6,
2000-05-16,,45310000.0,5.0,12.4,0.94,3.9,0.52,,,,15.0,,0.95,8.0,2000.0,45.0,6.93,,22.1,
2000-05-17,,46310000.0,5.0,18.0,,,0.52,,,,,,,9.0,2000.0,46.0,7.27,,22.6,
2000-05-18,,43750000.0,5.0,18.6,,,0.52,,,,,,,10.0,2000.0,44.0,7.18,,23.7,
2000-05-19,,44060000.0,5.0,22.4,,,0.52,,,,,,,23.0,2000.0,44.0,7.23,,24.5,
2000-05-20,,44810000.0,5.0,14.2,,,0.52,,,,,,,9.0,2000.0,45.0,7.04,,23.9,
2000-05-21,,44870000.0,5.0,18.7,,,0.52,,,,,,,13.0,2000.0,45.0,6.98,,25.0,
2000-05-22,,44310000.0,5.0,19.0,,,0.52,,,,,,,13.0,2000.0,44.0,7.2,,25.5,
2000-05-23,,43190000.0,5.0,14.6,0.24,0.23,0.52,,,,16.4,,1.09,8.0,2000.0,43.0,7.31,,25.0,
2000-05-24,,44560000.0,5.0,15.8,,,0.52,,,,,,,24.0,2000.0,45.0,7.26,,25.0,
2000-05-25,,43060000.0,5.0,15.3,,,0.52,,,,,,,11.0,2000.0,43.0,7.34,,23.1,
2000-05-26,,43310000.0,5.0,19.5,,,0.52,,,,,,,11.0,2000.0,43.0,7.28,,23.9,
2000-05-27,,43310000.0,5.0,17.0,,,0.52,,,,,,,10.0,2000.0,43.0,6.86,,24.2,
2000-05-28,,41560000.0,5.0,17.5,,,0.52,,,,,,,11.0,2000.0,42.0,6.87,,24.5,
2000-05-29,,44560000.0,5.0,15.9,,,0.52,,,,,,,10.0,2000.0,45.0,7.33,,23.6,
2000-05-30,,44440000.0,5.0,17.9,,,0.52,,,,,,,10.0,2000.0,44.0,7.09,,23.5,
2000-05-31,,43190000.0,5.0,17.0,0.55,0.83,0.52,,,,20.1,,0.7,8.0,2000.0,43.0,7.31,,24.2,
2000-06-01,,41250000.0,6.0,21.3,,,0.52,,,,,,,9.0,2000.0,41.0,7.29,,24.7,
2000-06-02,,41500000.0,6.0,23.6,,,0.52,,,,,,,10.0,2000.0,42.0,7.33,,24.1,
2000-06-03,,42400000.0,6.0,23.6,,,0.52,,,,,,,9.0,2000.0,42.0,6.45,,23.8,
2000-06-04,,43800000.0,6.0,17.2,,,0.52,,,,,,,10.0,2000.0,44.0,6.9,,24.0,
2000-06-05,,44000000.0,6.0,16.6,,,0.52,,,,,,,12.0,2000.0,44.0,6.9,,24.5,
2000-06-06,,44900000.0,6.0,16.5,1.55,1.5,0.52,,,,19.2,,0.86,12.0,2000.0,45.0,7.08,,25.0,
2000-06-07,,44500000.0,6.0,17.6,,,0.52,,,,,,,12.0,2000.0,45.0,7.25,,24.0,
2000-06-08,,44200000.0,6.0,17.9,,,0.52,,,,,,,12.0,2000.0,44.0,7.43,,23.5,
2000-06-09,,42200000.0,6.0,18.7,,,0.52,,,,,,,10.0,2000.0,42.0,7.33,,23.5,
2000-06-10,,42200000.0,6.0,17.1,,,0.52,,,,,,,12.0,2000.0,42.0,7.33,,24.2,
2000-06-11,,43100000.0,6.0,17.5,,,0.52,,,,,,,13.0,2000.0,43.0,7.02,,24.5,
2000-06-12,,41300000.0,6.0,17.2,1.23,1.55,0.52,,,,19.9,,1.23,8.0,2000.0,41.0,7.15,,25.0,
2000-06-13,,41400000.0,6.0,16.8,,,0.52,,,,,,,8.0,2000.0,41.0,7.39,,25.5,
2000-06-14,,40500000.0,6.0,19.2,,,0.52,,,,,,,10.0,2000.0,41.0,7.52,,26.7,
2000-06-15,,42300000.0,6.0,19.8,,,0.52,,,,,,,10.0,2000.0,42.0,7.39,,25.9,
2000-06-16,,42250000.0,6.0,18.8,,,0.52,,,,,,,9.0,2000.0,42.0,7.26,,24.8,
2000-06-17,,42250000.0,6.0,18.1,,,0.52,,,,,,,11.0,2000.0,42.0,7.14,,24.6,
2000-06-18,,41500000.0,6.0,18.1,,,0.52,,,,,,,12.0,2000.0,42.0,7.1,,24.0,
2000-06-19,,41310000.0,6.0,18.0,0.2,1.3,0.52,,,,20.6,,,10.0,2000.0,41.0,7.21,,24.5,
2000-06-20,,41310000.0,6.0,18.4,,,0.52,,,,,,,8.0,2000.0,41.0,7.37,,25.5,
2000-06-21,,40630000.0,6.0,18.3,,,0.52,,,,,,,8.0,2000.0,41.0,7.21,,25.6,
2000-06-22,,41870000.0,6.0,18.4,,,0.52,,,,,,,10.0,2000.0,42.0,7.31,,25.4,
2000-06-23,,40560000.0,6.0,18.3,,,0.52,,,,,,,8.0,2000.0,41.0,7.23,,24.6,
2000-06-24,,40810000.0,6.0,19.0,,,0.52,,,,,,,11.0,2000.0,41.0,7.27,,24.9,
2000-06-25,,40120000.0,6.0,18.0,,,0.52,,,,,,,16.0,2000.0,40.0,7.2,,25.0,
2000-06-26,,40630000.0,6.0,16.6,1.71,1.85,0.52,,,,19.6,,1.2,14.0,2000.0,41.0,7.31,,24.4,
2000-06-27,,40500000.0,6.0,18.2,,,0.52,,,,,,,12.0,2000.0,41.0,7.3,,25.1,
2000-06-28,,41400000.0,6.0,20.1,,,0.52,,,,,,,21.0,2000.0,41.0,7.33,,25.5,
2000-06-29,,41370000.0,6.0,21.5,,,0.52,,,,,,,14.0,2000.0,41.0,7.3,,25.2,
2000-06-30,,40560000.0,6.0,21.6,,,0.52,,,,,,,12.0,2000.0,41.0,7.41,,25.0,
2000-07-01,,39440000.0,7.0,20.2,,,0.52,,,,,,,9.0,2000.0,39.0,7.14,,24.7,
2000-07-02,,38940000.0,7.0,20.1,,,0.52,,,,,,,9.0,2000.0,39.0,7.17,,24.7,
2000-07-03,,39310000.0,7.0,19.4,,,0.52,,,,,,,8.0,2000.0,39.0,7.22,,23.5,
2000-07-04,,40940000.0,7.0,19.5,,,0.52,,,,,,,9.0,2000.0,41.0,7.21,,24.6,
2000-07-05,,41060000.0,7.0,18.8,1.06,0.07,0.52,,,,21.2,,0.72,11.0,2000.0,41.0,7.27,,24.0,
2000-07-06,,40500000.0,7.0,15.6,,,0.52,,,,,,,5.0,2000.0,41.0,7.38,,24.0,
2000-07-07,,40810000.0,7.0,18.7,,,0.52,,,,,,,8.0,2000.0,41.0,7.36,,24.1,
2000-07-08,,41000000.0,7.0,18.0,,,0.52,,,,,,,10.0,2000.0,41.0,7.27,,25.0,
2000-07-09,,41000000.0,7.0,15.4,,,0.52,,,,,,,13.0,2000.0,41.0,7.17,,26.0,
2000-07-10,,41370000.0,7.0,15.9,,,0.52,,,,,,,9.0,2000.0,41.0,7.21,,24.5,
2000-07-11,,43370000.0,7.0,16.2,2.5,0.18,0.52,,,,18.7,,1.07,9.0,2000.0,43.0,7.21,,24.9,
2000-07-12,,43440000.0,7.0,17.4,,,0.52,,,,,,,9.0,2000.0,43.0,7.26,,24.7,
2000-07-13,,43000000.0,7.0,17.6,,,0.52,,,,,,,10.0,2000.0,43.0,7.35,,25.0,
2000-07-14,,42120000.0,7.0,16.3,,,0.52,,,,,,,8.0,2000.0,42.0,7.27,,25.1,
2000-07-15,,41440000.0,7.0,17.1,,,0.52,,,,,,,8.0,2000.0,41.0,7.35,,25.1,
2000-07-16,,41440000.0,7.0,15.4,,,0.52,,,,,,,10.0,2000.0,41.0,7.21,,24.5,
2000-07-17,,40690000.0,7.0,15.7,,,0.52,,,,,,,13.0,2000.0,41.0,7.23,,24.6,
2000-07-18,,40870000.0,7.0,15.7,2.54,1.64,0.52,,,,18.3,,0.86,8.0,2000.0,41.0,7.24,,25.3,
2000-07-19,,40560000.0,7.0,16.9,,,0.52,,,,,,,8.0,2000.0,41.0,7.32,,24.9,
2000-07-20,,40750000.0,7.0,17.0,,,0.52,,,,,,,6.0,2000.0,41.0,7.34,,25.3,
2000-07-21,,40560000.0,7.0,17.4,,,0.52,,,,,,,8.0,2000.0,41.0,7.39,,25.0,
2000-07-22,,41690000.0,7.0,17.4,,,0.52,,,,,,,9.0,2000.0,42.0,7.37,,25.4,
2000-07-23,,41060000.0,7.0,16.3,,,0.52,,,,,,,11.0,2000.0,41.0,7.32,,25.5,
2000-07-24,,40500000.0,7.0,15.7,,,0.52,,,,,,,10.0,2000.0,41.0,7.23,,25.7,
2000-07-25,,39690000.0,7.0,16.4,1.28,1.9,0.52,,,,19.0,,1.14,9.0,2000.0,40.0,7.36,,24.9,
2000-07-26,,40690000.0,7.0,17.2,,,0.52,,,,,,,11.0,2000.0,41.0,7.38,,25.4,
2000-07-27,,40690000.0,7.0,18.3,,,0.52,,,,,,,12.0,2000.0,41.0,7.38,,25.4,
2000-07-28,,40690000.0,7.0,18.6,,,0.52,,,,,,,13.0,2000.0,41.0,7.32,,25.7,
2000-07-29,,41250000.0,7.0,18.2,,,0.52,,,,,,,12.0,2000.0,41.0,7.38,,26.1,
2000-07-30,,40500000.0,7.0,17.4,,,0.52,,,,,,,14.0,2000.0,41.0,7.23,,26.3,
2000-07-31,,41060000.0,7.0,16.9,,,0.52,,,,,,,15.0,2000.0,41.0,7.19,,26.2,
2000-08-01,,38750000.0,8.0,17.1,,,0.52,,,,,,,11.0,2000.0,39.0,7.4,,26.0,
2000-08-02,,41120000.0,8.0,18.3,,,0.52,,,,,,,9.0,2000.0,41.0,7.32,,26.8,
2000-08-03,,41120000.0,8.0,18.7,0.96,2.04,0.52,,,,21.4,,0.96,10.0,2000.0,41.0,7.41,,26.0,
2000-08-04,,40370000.0,8.0,18.1,,,0.52,,,,,,,11.0,2000.0,40.0,7.13,,25.7,
2000-08-05,,40310000.0,8.0,17.4,,,0.52,,,,,,,10.0,2000.0,40.0,7.15,,26.2,
2000-08-06,,40810000.0,8.0,17.1,,,0.52,,,,,,,13.0,2000.0,41.0,7.17,,26.6,
2000-08-07,,39250000.0,8.0,16.2,,,0.52,,,,,,,11.0,2000.0,39.0,7.24,,25.4,
2000-08-08,,40000000.0,8.0,16.2,1.33,4.5,0.52,,,,19.6,,1.44,11.0,2000.0,40.0,7.29,,25.4,
2000-08-09,,38690000.0,8.0,20.1,,,0.52,,,,,,,9.0,2000.0,39.0,7.3,,25.4,
2000-08-10,,38870000.0,8.0,19.2,,,0.52,,,,,,,10.0,2000.0,39.0,7.29,,25.6,
2000-08-11,,39810000.0,8.0,21.7,,,0.52,,,,,,,11.0,2000.0,40.0,7.38,,25.8,
2000-08-12,,39370000.0,8.0,20.9,,,0.52,,,,,,,9.0,2000.0,39.0,7.4,,26.0,
2000-08-13,,40120000.0,8.0,19.8,,,0.52,,,,,,,10.0,2000.0,40.0,7.11,,26.2,
2000-08-14,,39370000.0,8.0,19.4,,,0.52,,,,,,,9.0,2000.0,39.0,7.05,,26.5,
2000-08-15,,39750000.0,8.0,20.0,,,0.52,,,,,,,8.0,2000.0,40.0,7.43,,26.4,
2000-08-16,,40310000.0,8.0,21.4,,,0.52,,,,,,,11.0,2000.0,40.0,7.3,,26.6,
2000-08-17,,40750000.0,8.0,21.0,0.18,,0.52,,,,23.8,,1.68,11.0,2000.0,41.0,7.33,,26.5,
2000-08-18,,39620000.0,8.0,21.2,,,0.52,,,,,,,12.0,2000.0,40.0,7.26,,26.0,
2000-08-19,,40000000.0,8.0,20.4,,,0.52,,,,,,,10.0,2000.0,40.0,7.08,,26.0,
2000-08-20,,40310000.0,8.0,17.1,,,0.52,,,,,,,8.0,2000.0,40.0,7.16,,26.0,
2000-08-21,,40060000.0,8.0,19.6,0.3,0.6,0.52,,,,22.0,,1.4,8.0,2000.0,40.0,7.21,,26.3,
2000-08-22,,38870000.0,8.0,19.2,,,0.52,,,,,,,11.0,2000.0,39.0,7.2,,26.8,
2000-08-23,,39810000.0,8.0,19.7,,,0.52,,,,,,,9.0,2000.0,40.0,7.21,,25.2,
2000-08-24,,39560000.0,8.0,18.6,,,0.52,,,,,,,8.0,2000.0,40.0,7.38,,25.4,
