Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,1.0,,,,,,,,0.87,,4.31,,2000.0,23.98775,,,,
2000-01-03,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.90281,,,,
2000-01-04,,1.0,,,,,,,,0.87,,4.31,,2000.0,26.31292,,,,
2000-01-05,,1.0,,,,,,,,0.87,,4.31,,2000.0,27.07227,,,,
2000-01-06,,1.0,0.2,,,,,,,0.87,,4.31,,2000.0,25.80988,,,,
2000-01-07,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.45047,,,,
2000-01-08,,1.0,,,,,,,,0.87,,4.31,,2000.0,24.73695,,,,
2000-01-09,,1.0,,,,,,,,0.87,,4.31,,2000.0,24.65172,,,,
2000-01-10,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.3582,,,,
2000-01-11,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.86496,,,,
2000-01-12,,1.0,0.2,0.001,20.0,3.26315789474,,,,0.87,,4.31,,2000.0,25.94357,,,,
2000-01-13,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.81706,,,,
2000-01-14,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.84257,,,,
2000-01-15,,1.0,,,,,,,,0.87,,4.31,,2000.0,24.61887,,,,
2000-01-16,,1.0,,,,,,,,0.87,,4.31,,2000.0,25.42529,,,,
2000-01-17,,1.0,,,,,,,,0.87,,4.31,,2000.0,26.07398,,,,
2000-01-18,,1.0,0.2,,,,,,,0.87,,4.31,,2000.0,29.6302,,,,
2000-01-19,,1.0,,,,,,,,0.87,,4.31,,2000.0,27.7312,,,,
2000-01-20,,1.0,,,,,,,,0.87,,4.31,,2000.0,27.60513,,,,
2000-01-21,,1.0,,,,,,,,0.87,,4.31,,2000.0,27.09654,,,,
2000-01-22,,1.0,,,,,,,,0.87,,4.31,,2000.0,26.35269,,,,
2000-01-23,,1.0,,,,,,,,0.87,,4.31,,2000.0,29.42392,,,,
2000-01-24,,1.0,0.2,,,,,,,0.87,,4.31,,2000.0,42.40278,,,,
2000-01-25,,1.0,,,,,,,,0.87,,4.31,,2000.0,40.41437,,,,
2000-01-26,,1.0,,,,,,,,0.87,,4.31,,2000.0,34.64642,,,,
2000-01-27,,1.0,,,,,,,,0.87,,4.31,,2000.0,32.45741,,,,
2000-01-28,,1.0,,,,,,,,0.87,,4.31,,2000.0,30.89708,,,,
2000-01-29,,1.0,,,,,,,,0.87,,4.31,,2000.0,29.5858,,,,
2000-01-30,,1.0,,,,,,,,0.87,,4.31,,2000.0,29.2547,,,,
2000-01-31,,1.0,,,,,,,,0.87,,4.31,,2000.0,29.16629,,,,
2000-02-01,,2.0,,,,,,,,0.87,,4.31,,2000.0,28.29773,,,,
2000-02-02,,2.0,,,,,,,,0.87,,4.31,,2000.0,28.02651,,,,
2000-02-03,,2.0,0.2,,,,,,,0.87,,4.31,,2000.0,29.2176,,,,
2000-02-04,,2.0,,,,,,,,0.87,,4.31,,2000.0,26.13125,,,,
2000-02-05,,2.0,,,,,,,,0.87,,4.31,,2000.0,27.92393,,,,
2000-02-06,,2.0,,,,,,,,0.87,,4.31,,2000.0,26.76392,,,,
2000-02-07,,2.0,,,,,,,,0.87,,4.31,,2000.0,27.77332,,,,
2000-02-08,,2.0,,,,,,,,0.87,,4.31,,2000.0,27.98056,,,,
2000-02-09,,2.0,0.2,0.002,18.6,3.19789473684,,,,0.87,,4.31,,2000.0,27.85748,,,,
2000-02-10,,2.0,,,,,,,,0.87,,4.31,,2000.0,28.50775,,,,
2000-02-11,,2.0,,,,,,,,0.87,,4.31,,2000.0,31.51483,,,,
2000-02-12,,2.0,,,,,,,,0.87,,4.31,,2000.0,35.59119,,,,
2000-02-13,,2.0,,,,,,,,0.87,,4.31,,2000.0,40.97508,,,,
2000-02-14,,2.0,,,,,,,,0.87,,4.31,,2000.0,47.22866,,,,
2000-02-15,,2.0,,,,,,,,0.87,,4.31,,2000.0,40.20398,,,,
2000-02-16,,2.0,,,,,,,,0.87,,4.31,,2000.0,37.45674,,,,
2000-02-17,,2.0,,,,,,,,0.87,,4.31,,2000.0,36.0891,,,,
2000-02-18,,2.0,0.2,,,,,,,0.87,,4.31,,2000.0,34.24233,,,,
