Day,Month,Year,Flow,NH3
3/1/2004,3,2004,10.02,
3/2/2004,3,2004,9.54,
3/3/2004,3,2004,8.92,
3/4/2004,3,2004,8.41,
3/5/2004,3,2004,8.85,
3/6/2004,3,2004,9.59,
3/7/2004,3,2004,7.38,
3/8/2004,3,2004,8.87,
3/9/2004,3,2004,8.88,
3/10/2004,3,2004,9.58,
3/11/2004,3,2004,9.78,
3/12/2004,3,2004,9.16,
3/13/2004,3,2004,9.09,
3/14/2004,3,2004,8.93,
3/15/2004,3,2004,9.75,
3/16/2004,3,2004,8.58,
3/17/2004,3,2004,7.71,
3/18/2004,3,2004,6.71,
3/19/2004,3,2004,6.71,
3/20/2004,3,2004,7.53,
3/21/2004,3,2004,6.59,
3/22/2004,3,2004,7.53,
3/23/2004,3,2004,7.89,
3/24/2004,3,2004,9.29,
3/25/2004,3,2004,9.14,
3/26/2004,3,2004,8.17,
3/27/2004,3,2004,8.66,
3/28/2004,3,2004,6.9,
3/29/2004,3,2004,6.22,
3/30/2004,3,2004,7.21,
3/31/2004,3,2004,6.3,
4/1/2004,4,2004,5.2,
4/2/2004,4,2004,5.72,
4/3/2004,4,2004,5.6,
4/4/2004,4,2004,7.85,
4/5/2004,4,2004,7.21,
4/6/2004,4,2004,7.54,
4/7/2004,4,2004,6.63,0.2
4/8/2004,4,2004,6.83,
4/9/2004,4,2004,6.65,
4/10/2004,4,2004,6.02,
4/11/2004,4,2004,4.96,
4/12/2004,4,2004,4.91,
4/13/2004,4,2004,4.93,
4/14/2004,4,2004,4.69,
4/15/2004,4,2004,3.68,
4/16/2004,4,2004,4.77,
4/17/2004,4,2004,4.96,
4/18/2004,4,2004,5.02,
4/19/2004,4,2004,5.73,
4/20/2004,4,2004,8.08,
4/21/2004,4,2004,8.72,
4/22/2004,4,2004,7.11,
4/23/2004,4,2004,6.59,
4/24/2004,4,2004,5.6,
4/25/2004,4,2004,4.7,
4/26/2004,4,2004,5.47,
4/27/2004,4,2004,5.23,
4/28/2004,4,2004,6.45,
4/29/2004,4,2004,6.08,
4/30/2004,4,2004,6.55,
5/1/2004,5,2004,6.76,
5/2/2004,5,2004,5.68,
5/3/2004,5,2004,5.91,
5/4/2004,5,2004,5.66,
5/5/2004,5,2004,4.68,
5/6/2004,5,2004,6.84,
5/7/2004,5,2004,7.27,
5/8/2004,5,2004,6.69,
5/9/2004,5,2004,6.14,
5/10/2004,5,2004,6.03,
5/11/2004,5,2004,4.84,
5/12/2004,5,2004,4.81,
5/13/2004,5,2004,5.19,
5/14/2004,5,2004,4.46,
5/15/2004,5,2004,4.9,
5/16/2004,5,2004,5.51,
5/17/2004,5,2004,5.46,
5/18/2004,5,2004,5.17,
5/19/2004,5,2004,5.54,
5/20/2004,5,2004,4.96,
5/21/2004,5,2004,5.2,
5/22/2004,5,2004,5.18,
5/23/2004,5,2004,5.14,
5/24/2004,5,2004,5.45,
5/25/2004,5,2004,5.92,
5/26/2004,5,2004,5.64,
5/27/2004,5,2004,4.71,
5/28/2004,5,2004,4.71,
5/29/2004,5,2004,4.73,
5/30/2004,5,2004,4.71,
5/31/2004,5,2004,4.65,
6/1/2004,6,2004,4.56,
6/2/2004,6,2004,4.41,
6/3/2004,6,2004,4.37,
