,Date,flow mgd,N+N mg/L N
0,2000-01-06,1044.7490793650795,
1,2000-01-07,1028.8288125,
2,2000-01-08,1015.1622604166666,
3,2000-01-09,1021.4906145833332,
4,2000-01-10,1044.2457604166666,
5,2000-01-11,1032.9355104166666,
6,2000-01-12,1093.66078125,
7,2000-01-13,1121.1958541666668,
8,2000-01-14,1108.2698541666666,
9,2000-01-15,1146.0380104166668,
10,2000-01-16,1182.52703125,
11,2000-01-17,1203.3298125,
12,2000-01-18,1242.8483645833333,
13,2000-01-19,1363.4237083333335,
14,2000-01-20,1346.727625,
15,2000-01-21,1351.3055833333333,
16,2000-01-22,1374.6666354166666,
17,2000-01-23,1422.8025208333333,
18,2000-01-24,1610.0275520833334,
19,2000-01-25,1875.2125208333334,
20,2000-01-26,2229.3983854166663,
21,2000-01-27,2478.5605,
22,2000-01-28,2145.6486770833335,
23,2000-01-29,2084.3175,
24,2000-01-30,1955.7980520833335,
25,2000-01-31,1798.4643958333334,
26,2000-02-01,1783.0474479166664,
27,2000-02-02,1794.0210833333333,
28,2000-02-03,1653.51815625,
29,2000-02-04,1581.9538958333335,
30,2000-02-05,1525.8065833333335,
31,2000-02-06,1492.4144166666665,
32,2000-02-07,1480.3636145833334,
33,2000-02-08,1435.9304895833334,
34,2000-02-09,1400.5859583333333,
35,2000-02-10,1377.8981354166665,
36,2000-02-11,1385.30365625,
37,2000-02-12,1427.9863854166665,
38,2000-02-13,1861.14203125,
39,2000-02-14,2928.816166666667,
40,2000-02-15,4678.60609375,
41,2000-02-16,5659.097052083333,
42,2000-02-17,5789.6361875,
43,2000-02-18,7098.3936875,
44,2000-02-19,7903.0371875,
45,2000-02-20,7956.895520833334,
46,2000-02-21,8029.604270833333,
47,2000-02-22,7892.2655208333335,
48,2000-02-23,8019.562526315789,
49,2000-02-24,8425.463020833333,
50,2000-02-25,9021.9440625,
51,2000-02-26,8682.6365625,
52,2000-02-27,8498.171770833333,
53,2000-02-28,8569.487093023256,
54,2000-02-29,9432.613854166666,
55,2000-03-01,9520.133645833334,
56,2000-03-02,9498.5903125,
57,2000-03-03,9515.421041666666,
58,2000-03-04,9470.987916666667,
59,2000-03-05,9664.2046875,
60,2000-03-06,10208.173854166665,
61,2000-03-07,10758.8753125,
62,2000-03-08,10676.741354166666,
63,2000-03-09,10624.902708333333,
64,2000-03-10,10657.8909375,
65,2000-03-11,10546.134895833333,
66,2000-03-12,10268.09125,
67,2000-03-13,10087.665833333334,
68,2000-03-14,9790.098541666666,
69,2000-03-15,9284.5034375,
70,2000-03-16,8801.124895833333,
71,2000-03-17,8515.675729166665,
72,2000-03-18,8232.919479166667,
73,2000-03-19,7484.961875,
74,2000-03-20,7122.764583333334,
75,2000-03-21,7173.256770833334,
76,2000-03-22,6244.402489583334,
77,2000-03-23,5515.227979166666,
78,2000-03-24,5189.3850625,
79,2000-03-25,4926.489072916666,
80,2000-03-26,4768.886125,
81,2000-03-27,4535.477572916667,
82,2000-03-28,4212.327572916667,
83,2000-03-29,3940.948895833333,
84,2000-03-30,3734.738802083333,
85,2000-03-31,3544.75353125,
86,2000-04-01,3429.967958333333,
87,2000-04-02,3133.14121875,
88,2000-04-03,2853.145208333333,
89,2000-04-04,2639.3949479166663,
90,2000-04-05,2485.8986979166666,
91,2000-04-06,2343.7126979166665,
92,2000-04-07,2216.6743541666665,
93,2000-04-08,2180.9258854166665,
94,2000-04-09,2182.67628125,
95,2000-04-10,2025.0060104166664,
96,2000-04-11,1954.0030105263158,
97,2000-04-12,1941.8622083333335,
98,2000-04-13,2000.7024374999999,
99,2000-04-14,2434.060052083333,
100,2000-04-15,3502.272770833333,
101,2000-04-16,3802.600302083333,
102,2000-04-17,3939.939052083333,
103,2000-04-18,4466.7408749999995,
104,2000-04-19,4553.1835,
105,2000-04-20,4125.21171875,
106,2000-04-21,3995.817072916667,
107,2000-04-22,4067.1120416666668,
108,2000-04-23,4064.351802083333,
109,2000-04-24,4090.809708333333,
110,2000-04-25,4009.0329157894735,
111,2000-04-26,3854.57359375,
112,2000-04-27,3801.994395833333,
113,2000-04-28,3638.938291666667,
114,2000-04-29,3665.396197916667,
115,2000-04-30,3737.297072916667,
116,2000-05-01,3719.927760416667,
117,2000-05-02,3670.714708333333,
118,2000-05-03,3576.3953020833333,
119,2000-05-04,3477.2959687499997,
120,2000-05-05,3610.528020833333,
121,2000-05-06,3612.749677083333,
122,2000-05-07,3635.8414374999998,
123,2000-05-08,3850.803510416667,
124,2000-05-09,3916.645322916667,
125,2000-05-10,3807.851489583333,
126,2000-05-11,3785.836895833333,
127,2000-05-12,3765.438052083333,
128,2000-05-13,3647.824916666667,
129,2000-05-14,3633.148520833333,
130,2000-05-15,3459.1861041666666,
131,2000-05-16,3154.280614583333,
132,2000-05-17,3017.278479166667,
133,2000-05-18,2817.5313854166666,
134,2000-05-19,2633.878765957447,
135,2000-05-20,2570.1196666666665,
136,2000-05-21,2684.501302083333,
137,2000-05-22,2716.614333333333,
138,2000-05-23,2617.1783854166665,
139,2000-05-24,2631.1142291666665,
140,2000-05-25,2609.9075104166664,
141,2000-05-26,2597.6547395833336,
142,2000-05-27,2506.7014791666666,
143,2000-05-28,2431.0305208333334,
144,2000-05-29,2345.1938020833336,
145,2000-05-30,2242.86296875,
146,2000-05-31,2165.71090625,
147,2000-06-01,2147.7356875,
148,2000-06-02,2111.2466666666664,
149,2000-06-03,2111.3813125,
